
 name                       value               environments                        created    
 CLOUDINARY_CLOUD_NAME      Encrypted           Development                         2h ago     
 CLOUDINARY_CLOUD_NAME      Encrypted           Production                          2h ago     
 CLOUDINARY_API_KEY         Encrypted           Development, Preview, Production    15h ago    
 CLOUDINARY_API_SECRET      Encrypted           Development, Preview, Production    15h ago    
 NEXTAUTH_URL               Encrypted           Production                          16h ago    
 DATABASE_URL               Encrypted           Preview                             17h ago    
 NEXTAUTH_SECRET            Encrypted           Preview                             17h ago    
 NEXTAUTH_URL               Encrypted           Preview                             17h ago    
 SMTP_HOST                  Encrypted           Preview                             17h ago    
 SMTP_USER                  Encrypted           Preview                             17h ago    
 SMTP_PASS                  Encrypted           Preview                             17h ago    
 GEMINI_API_KEY             Encrypted           Preview                             17h ago    

